zip_code,cluster,cluster_label
11772,0,Emerging
11776,0,Emerging
11777,0,Emerging
11778,0,Emerging
11779,0,Emerging
11780,0,Emerging
11782,0,Emerging
11783,0,Emerging
11784,0,Emerging
11786,0,Emerging
11787,0,Emerging
11788,0,Emerging
11789,0,Emerging
11790,0,Emerging
11791,0,Emerging
11792,0,Emerging
11793,0,Emerging
11795,0,Emerging
11796,0,Emerging
11797,0,Emerging
11798,0,Emerging
11801,0,Emerging
11803,0,Emerging
11804,0,Emerging
11901,0,Emerging
11930,3,Stable
11932,3,Stable
11933,0,Emerging
11934,0,Emerging
11935,0,Emerging
11937,3,Stable
11939,3,Stable
11940,0,Emerging
11941,0,Emerging
11942,3,Stable
11944,3,Stable
11946,3,Stable
11948,0,Emerging
11949,0,Emerging
11950,0,Emerging
11952,3,Stable
11953,0,Emerging
11954,3,Stable
11955,0,Emerging
11957,3,Stable
11958,3,Stable
11959,3,Stable
11960,3,Stable
11961,1,Gentrifying
11962,3,Stable
11963,3,Stable
11964,3,Stable
11965,3,Stable
11967,0,Emerging
11968,3,Stable
11971,3,Stable
11972,0,Emerging
11975,3,Stable
11976,3,Stable
11977,3,Stable
11978,3,Stable
11980,0,Emerging
12009,1,Gentrifying
12010,1,Gentrifying
12015,0,Emerging
12017,0,Emerging
12018,0,Emerging
12019,0,Emerging
12020,0,Emerging
12022,1,Gentrifying
12023,1,Gentrifying
12025,1,Gentrifying
12027,0,Emerging
12028,1,Gentrifying
12029,1,Gentrifying
12032,1,Gentrifying
12033,1,Gentrifying
12036,1,Gentrifying
12037,1,Gentrifying
12041,1,Gentrifying
12042,1,Gentrifying
12043,1,Gentrifying
12045,0,Emerging
12046,1,Gentrifying
12047,1,Gentrifying
12051,0,Emerging
12052,1,Gentrifying
12053,1,Gentrifying
12054,1,Gentrifying
12056,1,Gentrifying
12057,0,Emerging
12058,0,Emerging
12059,1,Gentrifying
12060,0,Emerging
12061,1,Gentrifying
12062,0,Emerging
12063,1,Gentrifying
12065,0,Emerging
12066,1,Gentrifying
12067,1,Gentrifying
12068,1,Gentrifying
12070,1,Gentrifying
12072,0,Emerging
12074,1,Gentrifying
12075,1,Gentrifying
12076,1,Gentrifying
12077,1,Gentrifying
12078,1,Gentrifying
12083,1,Gentrifying
12084,0,Emerging
12086,0,Emerging
12087,0,Emerging
12090,1,Gentrifying
12092,1,Gentrifying
12093,1,Gentrifying
12094,1,Gentrifying
12095,1,Gentrifying
12106,0,Emerging
12110,0,Emerging
12116,1,Gentrifying
12117,1,Gentrifying
12118,0,Emerging
12120,1,Gentrifying
12121,0,Emerging
12122,1,Gentrifying
12123,1,Gentrifying
12124,0,Emerging
12125,1,Gentrifying
12130,0,Emerging
12134,1,Gentrifying
12136,0,Emerging
12137,1,Gentrifying
12138,1,Gentrifying
12139,1,Gentrifying
12140,1,Gentrifying
12143,1,Gentrifying
12144,1,Gentrifying
12147,0,Emerging
12148,0,Emerging
12149,1,Gentrifying
12150,1,Gentrifying
12151,0,Emerging
12153,0,Emerging
12154,1,Gentrifying
12155,1,Gentrifying
12156,1,Gentrifying
12157,1,Gentrifying
12158,1,Gentrifying
12159,1,Gentrifying
12160,1,Gentrifying
12164,1,Gentrifying
12165,1,Gentrifying
12166,1,Gentrifying
12167,1,Gentrifying
12168,1,Gentrifying
12169,1,Gentrifying
12170,0,Emerging
12173,1,Gentrifying
12175,1,Gentrifying
12180,1,Gentrifying
12182,1,Gentrifying
12183,2,Declining
12184,0,Emerging
12185,1,Gentrifying
12186,1,Gentrifying
12187,1,Gentrifying
12188,1,Gentrifying
12189,1,Gentrifying
12190,1,Gentrifying
12192,0,Emerging
12193,0,Emerging
12194,0,Emerging
12196,1,Gentrifying
12197,2,Declining
12198,1,Gentrifying
12202,1,Gentrifying
12203,1,Gentrifying
12204,1,Gentrifying
12205,1,Gentrifying
12206,1,Gentrifying
12208,1,Gentrifying
12209,1,Gentrifying
12210,2,Declining
12211,0,Emerging
12302,1,Gentrifying
12303,1,Gentrifying
12304,1,Gentrifying
12305,0,Emerging
12306,1,Gentrifying
12307,1,Gentrifying
12308,1,Gentrifying
12309,1,Gentrifying
12401,1,Gentrifying
12404,0,Emerging
12405,0,Emerging
12406,0,Emerging
12407,1,Gentrifying
12409,0,Emerging
12410,0,Emerging
12411,1,Gentrifying
12412,1,Gentrifying
12413,1,Gentrifying
12414,0,Emerging
12418,1,Gentrifying
12419,0,Emerging
12421,0,Emerging
12422,1,Gentrifying
12423,0,Emerging
12424,0,Emerging
12427,0,Emerging
12428,1,Gentrifying
12430,0,Emerging
12431,0,Emerging
12433,0,Emerging
12435,1,Gentrifying
12436,0,Emerging
12439,1,Gentrifying
12440,0,Emerging
12442,0,Emerging
12443,0,Emerging
12444,0,Emerging
12446,1,Gentrifying
12448,0,Emerging
12449,0,Emerging
12450,1,Gentrifying
12451,1,Gentrifying
12453,1,Gentrifying
12454,1,Gentrifying
12455,0,Emerging
12456,1,Gentrifying
12457,3,Stable
12458,0,Emerging
12461,0,Emerging
12463,0,Emerging
12464,0,Emerging
12465,3,Stable
12466,0,Emerging
12468,0,Emerging
12469,1,Gentrifying
12470,0,Emerging
12472,0,Emerging
12473,0,Emerging
12474,0,Emerging
12477,0,Emerging
12480,0,Emerging
12481,0,Emerging
12484,0,Emerging
12485,0,Emerging
12486,0,Emerging
12487,0,Emerging
12489,1,Gentrifying
12491,1,Gentrifying
12492,0,Emerging
12493,3,Stable
12494,3,Stable
12495,0,Emerging
12496,0,Emerging
12498,0,Emerging
12501,0,Emerging
12502,0,Emerging
12503,1,Gentrifying
12508,0,Emerging
12513,0,Emerging
12514,0,Emerging
12515,0,Emerging
12516,0,Emerging
12517,0,Emerging
12518,0,Emerging
12520,1,Gentrifying
12521,0,Emerging
12522,0,Emerging
12523,0,Emerging
12524,0,Emerging
12525,0,Emerging
12526,0,Emerging
12528,0,Emerging
12529,1,Gentrifying
12531,0,Emerging
12533,0,Emerging
12534,0,Emerging
12538,1,Gentrifying
12540,0,Emerging
12542,0,Emerging
12543,0,Emerging
12545,0,Emerging
12546,1,Gentrifying
12547,0,Emerging
12548,1,Gentrifying
12549,0,Emerging
12550,1,Gentrifying
12553,1,Gentrifying
12561,0,Emerging
12563,0,Emerging
12564,0,Emerging
12565,1,Gentrifying
12566,0,Emerging
12567,0,Emerging
12569,0,Emerging
12570,0,Emerging
12571,0,Emerging
12572,0,Emerging
12574,3,Stable
12575,1,Gentrifying
12577,0,Emerging
12578,0,Emerging
12580,1,Gentrifying
12581,1,Gentrifying
12582,0,Emerging
12583,1,Gentrifying
12585,1,Gentrifying
12586,0,Emerging
12589,0,Emerging
12590,1,Gentrifying
12592,0,Emerging
12594,1,Gentrifying
12601,1,Gentrifying
12603,1,Gentrifying
12701,1,Gentrifying
12719,0,Emerging
12720,1,Gentrifying
12721,1,Gentrifying
12723,0,Emerging
12725,3,Stable
12726,0,Emerging
12729,0,Emerging
12732,0,Emerging
12733,1,Gentrifying
12734,0,Emerging
12736,1,Gentrifying
12737,1,Gentrifying
12740,0,Emerging
12742,1,Gentrifying
12743,0,Emerging
12746,1,Gentrifying
12747,1,Gentrifying
12748,1,Gentrifying
12751,1,Gentrifying
12754,1,Gentrifying
12758,0,Emerging
12759,0,Emerging
12760,1,Gentrifying
12763,1,Gentrifying
12764,1,Gentrifying
12765,3,Stable
12766,0,Emerging
12768,0,Emerging
12770,0,Emerging
12771,1,Gentrifying
12775,1,Gentrifying
12776,0,Emerging
12777,0,Emerging
12779,1,Gentrifying
12780,0,Emerging
12783,0,Emerging
12785,0,Emerging
12786,0,Emerging
12788,0,Emerging
12789,1,Gentrifying
12790,1,Gentrifying
12791,0,Emerging
12792,0,Emerging
12801,1,Gentrifying
12803,1,Gentrifying
12804,1,Gentrifying
12809,1,Gentrifying
12810,0,Emerging
12814,0,Emerging
12815,1,Gentrifying
12816,1,Gentrifying
12817,1,Gentrifying
12819,1,Gentrifying
12820,3,Stable
12822,1,Gentrifying
12824,0,Emerging
12827,1,Gentrifying
12828,0,Emerging
12831,0,Emerging
12832,1,Gentrifying
12833,0,Emerging
12834,0,Emerging
12835,0,Emerging
12836,1,Gentrifying
12837,1,Gentrifying
12838,2,Declining
12839,1,Gentrifying
12841,0,Emerging
12842,0,Emerging
12843,0,Emerging
12844,3,Stable
12845,0,Emerging
12846,1,Gentrifying
12847,0,Emerging
12849,1,Gentrifying
12850,1,Gentrifying
12851,1,Gentrifying
12852,1,Gentrifying
12853,0,Emerging
12855,1,Gentrifying
12857,0,Emerging
12859,1,Gentrifying
12860,1,Gentrifying
12861,1,Gentrifying
12863,1,Gentrifying
12865,1,Gentrifying
12866,0,Emerging
12870,1,Gentrifying
12871,1,Gentrifying
12873,1,Gentrifying
12878,1,Gentrifying
12883,1,Gentrifying
12884,1,Gentrifying
12885,1,Gentrifying
12887,2,Declining
12901,1,Gentrifying
12903,1,Gentrifying
12910,1,Gentrifying
12912,1,Gentrifying
12913,1,Gentrifying
12914,3,Stable
12916,1,Gentrifying
12917,1,Gentrifying
12918,1,Gentrifying
12919,1,Gentrifying
12920,1,Gentrifying
12921,1,Gentrifying
12923,1,Gentrifying
12926,1,Gentrifying
12927,1,Gentrifying
12928,0,Emerging
12929,2,Declining
12930,1,Gentrifying
12932,0,Emerging
12934,1,Gentrifying
12935,1,Gentrifying
12936,0,Emerging
12937,2,Declining
12941,1,Gentrifying
12942,0,Emerging
12944,1,Gentrifying
12945,3,Stable
12946,3,Stable
12950,0,Emerging
12952,1,Gentrifying
12953,1,Gentrifying
12955,0,Emerging
12956,1,Gentrifying
12957,2,Declining
12958,1,Gentrifying
12959,1,Gentrifying
12960,1,Gentrifying
12962,1,Gentrifying
12965,2,Declining
12966,0,Emerging
12967,1,Gentrifying
12969,0,Emerging
12970,3,Stable
12972,1,Gentrifying
12973,1,Gentrifying
12974,1,Gentrifying
12975,1,Gentrifying
12976,0,Emerging
12979,1,Gentrifying
12980,2,Declining
12981,1,Gentrifying
12983,1,Gentrifying
12985,1,Gentrifying
