zip_code,median_price,median_price_sqft,listing_count,median_house_size,zhvi_current,growth_1yr,growth_5yr,log_median_price,price_to_zhvi
10026,1.3725e+06,1060.696,94,1219.0,866673.8098643706,-0.011169841317419075,0.025086982086955333,14.132145,1.5836407935469843
10027,1.25e+06,1238.0714,228,1021.0,823383.5241589219,-0.011266620060362425,-0.1465613664427062,14.038655,1.5181260777313494
10028,3.65e+06,1804.3666,168,1864.0,1443909.3550327695,0.029646564565771947,-0.04577847627071717,15.110238,2.5278595136722855
10029,835000.0,1052.3763,81,818.0,750805.4814988407,-0.012028283872992566,-0.10353522612701635,13.635188,1.1121389235639048
10030,925000.0,859.5285,49,1075.0,709313.7403366152,-0.026064750849496155,0.09458526822785995,13.73755,1.3040773742251597
10031,852000.0,747.3605,62,1151.0,550798.4265221431,-0.008170431517031118,0.006281974842150776,13.655343,1.5468453774999085
10032,650000.0,658.3333,45,958.0,556168.3252982438,0.008445583076336378,0.07946657564847606,13.384729,1.1687109287488446
10033,679500.0,711.6255,40,903.0,611658.5436746315,0.0372501627089791,-0.03136612445317784,13.429114,1.1109139356049875
10034,429000.0,514.5806,41,850.0,456318.39680766646,-0.030364876366262387,-0.15297922917681842,12.969214,0.9401330364964863
10035,975000.0,760.7527,31,1169.0,713161.8896092916,-0.014717961568592505,-0.23407087815053912,13.790194,1.367151013263142
10036,1.425e+06,1609.5238,117,922.0,979663.3949830168,-0.04639105786742531,-0.017200505495322507,14.169683,1.4545812442289972
10037,772500.0,750.5813,12,1170.5,566561.1350861358,-0.025526674492229347,-0.04222027512737437,13.557388,1.3634892197159882
10039,665000.0,759.7093,28,833.5,643613.7713594107,-0.013159393626256911,0.3341382563569149,13.407544,1.0332283577391737
10040,469000.0,614.2857,17,750.0,489590.1234507868,-0.018452178479403787,-0.18849137934495308,13.05836,0.9579441609122727
10044,895000.0,769.22974,21,1053.0,907996.9625790032,-0.03722132705483773,0.26165179639986397,13.70458,0.9856861166780915
10065,1.832944e+06,1413.2871,160,1400.0,1600763.4232385578,0.07457856619918549,-0.016561867636975234,14.421434,1.14504365441566
10069,2.5e+06,1754.5638,99,1372.0,1926062.1025141897,-0.01885348296480537,0.09138347740259443,14.731802,1.2979851463442529
10075,2.11e+06,1459.0604,118,1655.5,1146491.3529330988,-0.0004018016023451354,-0.1337671720870081,14.562199,1.8403976572539618
10128,1.749e+06,1313.5593,163,1372.0,1195340.7482683037,0.008032317923185062,-0.019291847693001518,14.374556,1.4631811075911076
10280,900000.0,1182.266,75,768.0,782963.8048848348,-0.0005249906606047951,0.07894897340246956,13.710151,1.1494784233766462
10282,1.635e+06,1551.7268,50,1170.0,2159679.1366266795,0.09694048994494932,0.44719963689732245,14.307154,0.7570569036258764
10301,649499.5,357.7273,172,1600.0,702598.8925619177,0.04772436147338771,0.16651074630505877,13.383959,0.9244243150337186
10302,589949.5,364.52588,46,1575.0,626566.9761233409,0.04883121441419121,0.19612265743763863,13.287794,0.9415585603475332
10303,499499.5,358.17484,80,1270.0,547239.4917080111,0.044116001826276834,0.2624969863912402,13.121364,0.9127621591069608
10304,649999.5,387.80646,114,1661.0,694513.752898815,0.04938956268150208,0.2057445686297123,13.384728,0.93590587268716
10305,708999.5,459.5514,152,1447.0,723012.7100805423,0.04717415723785915,0.22162007002384768,13.471612,0.9806183074167795
10306,699000.0,473.46478,164,1440.0,746768.1162371762,0.05565106258345048,0.21851180099670411,13.457407,0.9360335354462229
10307,999900.0,421.6216,53,2700.0,834688.0758273302,0.06177911988846927,0.22155929427304288,13.815412,1.1979325318729566
10308,699944.0,436.9213,96,1567.5,728584.9260158738,0.05659580941766442,0.23423234537664311,13.458757,0.9606896533359657
10309,888500.0,418.58704,106,2268.0,790572.3615610454,0.04135633698436929,0.21725629530339285,13.697291,1.1238692916681137
10310,642000.0,404.88095,74,1561.5,684475.468102302,0.05740481633791879,0.20933441558499116,13.372345,0.9379444989897671
10312,725000.0,433.77725,141,1764.0,754963.8973739265,0.05339186233346781,0.2360542036131724,13.493928,0.9603108208509663
10314,705000.0,433.78995,209,1536.0,703367.7286026707,0.061402772353700154,0.24165836972640886,13.465955,1.0023206515325518
10452,234500.0,268.13187,12,855.0,319064.6219160203,0.08724202406390384,-0.06010861062030807,12.365215,0.7349608320464993
10453,549500.0,249.55261,8,1708.5,574684.6922932359,0.07010841920868692,0.2895247312315923,13.216765,0.9561765040360858
10454,1.0395e+06,374.45523,4,2765.5,812559.684069505,0.07009197049734413,0.20683225399916386,13.854251,1.2792906421272594
10455,549000.0,269.51825,10,1700.0,486268.4203947895,0.052898576251377914,0.057013837463808247,13.215856,1.1290060735473635
10456,400000.0,245.45454,31,1328.0,457097.2013222899,0.11084163061611879,0.040094108207003355,12.899222,0.8750873968225594
10457,727500.0,286.24,36,2105.5,506798.8043315465,0.050109424563297755,-0.04379694208407822,13.497371,1.4354808925793585
10458,375000.0,294.57364,33,1200.0,424406.9004555742,0.059216105798301916,-0.12576467025888427,12.834684,0.8835860104947894
10459,612500.0,318.42212,26,1248.0,519578.6492200421,0.06867465699578107,0.2513870071179423,13.325306,1.1788398174548655
10460,612503.5,284.77087,28,2000.0,529624.2606810379,0.08244886952199297,0.008268818940093823,13.325312,1.1564868633706253
10461,799000.0,424.38272,57,1862.0,722449.9500775797,0.0624291163584417,0.21450042895116211,13.591118,1.1059589663120608
10462,270000.0,311.35513,113,890.0,247375.74240887133,0.026431997266112645,0.08862138884665799,12.506181,1.0914570578781104
10463,365000.0,350.6,236,1020.5,373798.8998789575,-0.015964499851919795,-0.17346243973449668,12.807655,0.9764608727264668
10464,677000.0,457.95514,26,1648.5,674973.9748097737,0.014336943979881736,0.1136025553318821,13.425428,1.003001634530868
10465,649000.0,408.39694,137,1600.0,680421.6495236062,0.07725291513637894,0.2785149439063516,13.383189,0.9538203266377461
10466,699999.0,343.89954,65,1939.0,658359.6965362047,0.08485018033288995,0.22063601169070338,13.458836,1.0632470421304192
