zip_code,zhvi_current,zhvi_1yr_ago,growth_1yr,growth_5yr
78572,197757.94042140068,197824.46843953084,-0.00033629822769118065,0.35875435900546737
11691,671843.6117288923,635086.0798357133,0.057878031120895686,0.20911162581799653
75211,229038.78371974765,244422.53112526657,-0.06293915431893941,0.17056120371898612
85225,447562.5377966237,460740.339445112,-0.028601362894247164,0.24658666221965592
30040,597341.568955789,612846.4857555797,-0.025299837985812465,0.47847462379683964
93727,432492.91482358583,429159.952997256,0.007766246135158674,0.297765227781629
89108,358440.7781152153,368961.07525402,-0.028513298134665663,0.35419490223073696
91706,723262.7162240831,720302.5014199265,0.004109682804545478,0.2869563792678266
90003,598166.1298146349,609043.7849317257,-0.017860218569195622,0.18807136108856096
22191,489046.4074013476,487706.6932117278,0.0027469669952596,0.24492835941127128
92126,1012998.8316966428,1057521.3961161906,-0.042100863947584916,0.39231822984593295
19120,170089.74714200848,167439.98381403787,0.015825152795723423,0.13174969684786658
30041,639219.0364690163,652844.1697963468,-0.02087042200527086,0.46553057749780064
76028,339892.9696736524,346569.6711134333,-0.01926510596940156,0.25326709602041636
30052,392742.52170210704,402839.64972156566,-0.02506488134034854,0.36603721504564213
80013,470375.2997291363,489847.13334879605,-0.03975083713676616,0.1365158922785813
11215,1481330.72119705,1401780.492643198,0.05674941902198404,0.1341550400271964
75228,280196.13549884275,295419.31782753166,-0.05153076122657739,0.15791286771844065
20002,615775.0984608163,639970.2620207531,-0.03780669977310945,-0.11582483055774113
63376,325159.99151243415,320303.48320396943,0.01516220885232176,0.3369159816444999
37211,398061.3323800827,410400.986067341,-0.030067310036222834,0.2685651245895028
60085,227688.16709768955,215479.973687656,0.05665581446436256,0.46163092309262566
76179,322453.55222689133,333437.8567164982,-0.032942583657938264,0.18911424115438305
77407,380057.4207513363,394511.64233468246,-0.036638263696877046,0.28376950901341447
60657,509054.70685687574,470772.6483846509,0.08131750772603512,0.2020342411493791
30047,398179.8158582738,411853.9370508804,-0.03320138515737261,0.35330090810586234
33025,392022.816050728,416153.9940617099,-0.057986174241556256,0.3521945089459548
10463,373798.8998789575,379863.22629895696,-0.015964499851919795,-0.17346243973449668
33311,362673.1211691883,381899.2439760508,-0.05034344296337022,0.415092876864581
96797,869109.4142315281,867197.6615073053,0.0022045178499441997,0.21980661446031596
83646,524387.927050482,524195.32350136974,0.00036742706483105717,0.153651118404427
92553,517983.26925150334,525037.2097511796,-0.013435124918135137,0.3574283901431639
11209,814244.3978723417,782433.3354908818,0.04065657857164571,-0.15066114010506634
84043,573586.5455314595,563117.9511599232,0.01859041138712206,0.26601177593146014
14850,404528.643514666,397094.4305770329,0.01872152406376026,0.3774864253542448
93306,348699.7857497717,349171.9758221427,-0.00135231377391954,0.36979504587819656
80015,551084.8073331317,570980.2854865934,-0.03484442223168291,0.16358446229744117
77095,327228.37589121447,335874.1537377231,-0.025741122829177145,0.2570901720674719
93230,382582.48130077886,374598.10382875026,0.02131451651895896,0.32415566053558215
30127,364131.15173639,374614.52950335975,-0.02798443984772275,0.2903469220540512
28277,614473.3781232752,607847.5818336162,0.010900423868878106,0.46764362964553646
77845,366360.1958159019,366223.44688033586,0.0003734030049985682,0.2410186405006357
89031,410926.0932551168,418984.23409813055,-0.01923256339312869,0.33029159571743477
20906,447328.4734946356,449370.42641303694,-0.00454403048883436,0.1223713418647055
46307,353866.72844822874,349856.64851000655,0.011462065835537473,0.2536641522833104
95747,663165.4862504582,672444.4660308724,-0.01379887893967478,0.16559579808306518
94536,1466488.9282871685,1528360.3128521442,-0.04048219784607903,0.3092231334164798
92563,693234.580762208,705690.1789464266,-0.017650235975813704,0.31405130180910695
45011,367926.3321337779,354780.10072696983,0.03705459066015965,0.40083130421273283
97229,743077.6143960959,772049.9376250821,-0.03752648865966956,0.1736192999420999
90255,675364.4150704794,671764.3519552507,0.0053591160423298,0.2544524289273428
92105,687671.1007929784,704188.3484453872,-0.023455724152314294,0.28081629032702077
60614,642774.0967470864,603480.7405039091,0.06511120174335173,0.17896647460651144
92021,770739.8922135484,792062.2779654702,-0.02692008740359599,0.2756787542711166
91730,680752.754599814,688577.801230396,-0.011364070431256666,0.3162407280593569
60620,175244.30134638413,167995.09048289942,0.04315132568842911,0.11657272353097535
33023,450415.14551623614,468669.361576635,-0.03894902794368816,0.4321691711982712
94110,1332592.3842828705,1256665.429184623,0.060419387161395825,-0.07490472720624344
85364,266359.9822773164,263925.2847388088,0.009224949935801165,0.41606313474581175
07055,553172.9598204911,542915.9770529303,0.018892394405554378,0.40783055398599116
77450,381776.10363581515,390381.50800889335,-0.022043575826553134,0.3251583434156193
11213,1104185.2420714183,998821.306110901,0.10548827434485927,0.2700496965719244
47906,363757.4509034762,360516.3868860503,0.008990060189553454,0.3523098599422251
94509,541751.3398735928,568858.8110314504,-0.04765237108432321,0.05759891680668692
93065,847202.5102952435,871661.1873782119,-0.028059844165524195,0.20134429629858763
95687,581848.2726952048,594294.9320113907,-0.020943573040510633,0.11975362711626843
11201,1363315.650652266,1309858.7776983092,0.040811172825739005,-0.09685217357265742
92882,785455.2435272342,794054.9690167243,-0.010830138749889187,0.328987796537742
07305,526784.6930843437,537342.3979650834,-0.01964800269013152,0.1785625260384784
19124,171454.9207267722,165400.86995780526,0.03660229097048496,0.1842385824287735
